Main ID;Incident ID;Region;Incident Date;Year;Reported Month;Number Dead;Minimum Estimated Number of Missing;Total Number of Dead and Missing;Number of Survivors;Number of Females;Number of Males;Number of Children;Cause of Death;Location of death;Information Source;Coordinates;Migrantion route;URL;UNSD Geographical Grouping;Source Quality
2021.MMP00001;2021.MMP00001;North America;Fri, 01/01/2021 - 12:00;2021;January;2;;2;;;;;Harsh environmental conditions / lack of adequate shelter, food, water;Unspecified location in Big Bend Border Patrol Sector, Terrell County Texas, USA;US Border Patrol;29.36820243, -103.7272989;US-Mexico border crossing;https://archive.vn/TFgOs;Northern America;5
2021.MMP00002;2021.MMP00002;North America;Sat, 01/02/2021 - 12:00;2021;January;1;;1;;1;;;Vehicle accident / death linked to hazardous transport;Sierra Blanca, Hudspeth County, Texas, USA;El Comercio, Ministry of Foreign Affairs Ecuador;31.1745732, -105.3571764;US-Mexico border crossing;https://archive.ph/L8XTI, https://archive.ph/OnCIW;Northern America;5
2021.MMP00003;2021.MMP00003;Mediterranean;Sat, 01/02/2021 - 12:00;2021;January;7;;7;;4;1;1;Drowning;Bodies washed ashore at Plage des 3 frères, Kharouba, Mostaganem, Algeria;Heroes del Mar, Middle East Eye, Echorouk Online;35.97300155, 0.097709576;Western Mediterranean;https://archive.vn/bKL0N, https://archive.vn/ThASF, https://archive.vn/AS8pg;Uncategorized;3
2021.MMP00004;2021.MMP000045;Mediterranean;Sun, 01/03/2021 - 12:00;2021;January;0;2;2;79;;2;;Drowning;Unspecified location off the coast of Libya - Survivors intercepted by LCG and disembarked at Tripoli Naval Base;IOM Libya;33.02654103, 13.33423606;Central Mediterranean;https://archive.vn/jTkwZ;Uncategorized;4
2021.MMP00004;2021.MMP000046;Mediterranean;Sun, 01/03/2021 - 12:00;2021;January;0;2;2;;;2;;Drowning;Unspecified location off the coast of Libya - Survivors intercepted by LCG and disembarked at Tripoli Naval Base;IOM Libya;33.02654103, 13.33423606;Central Mediterranean;https://archive.vn/jTkwZ;Uncategorized;4
2021.MMP00004;2021.MMP000047;Mediterranean;Sun, 01/03/2021 - 12:00;2021;January;0;2;2;;;2;;Drowning;Unspecified location off the coast of Libya - Survivors intercepted by LCG and disembarked at Tripoli Naval Base;IOM Libya;33.02654103, 13.33423606;Central Mediterranean;https://archive.vn/jTkwZ;Uncategorized;4
2021.MMP00004;2021.MMP000048;Mediterranean;Sun, 01/03/2021 - 12:00;2021;January;0;1;1;;;1;;Drowning;Unspecified location off the coast of Libya - Survivors intercepted by LCG and disembarked at Tripoli Naval Base;IOM Libya;33.02654103, 13.33423606;Central Mediterranean;https://archive.vn/jTkwZ;Uncategorized;4
2021.MMP00004;2021.MMP000049;Mediterranean;Sun, 01/03/2021 - 12:00;2021;January;0;1;1;;;1;;Drowning;Unspecified location off the coast of Libya - Survivors intercepted by LCG and disembarked at Tripoli Naval Base;IOM Libya;33.02654103, 13.33423606;Central Mediterranean;https://archive.vn/jTkwZ;Uncategorized;4
2021.MMP00009;2021.MMP00009;Southern Africa;Sun, 01/03/2021 - 12:00;2021;January;6;6;12;;;;;Drowning;Maputsoe river, Leribe, Lesotho;IOM Lesotho;-28.89352642, 27.89818156;;;Southern Africa;4
2021.MMP00010;2021.MMP00010;Mediterranean;Sun, 01/03/2021 - 12:00;2021;January;1;;1;;;1;;Drowning;Body washed on Bahara 2 beach, Ouled Boughalem, Mostganem, Algeria. Presumed to be among missing from journey in Alboran Sea;El Bilad, El Wassat;36.33183667, 0.717642324;Western Mediterranean;https://archive.vn/wip/NUD8A, https://archive.vn/oPeVK;Uncategorized;3
